ПозПредупредТОРО,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Вид работы ТОРО,Вид заказа,Тип техкарты,Группа,СчетГруппТехкарт,updated-counter,strategy_str_counter,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
10613,100000005731,Замена конечной передачи,100,100000008662,ЗМН,APP1,A,M0000003,ЗП,ЗП,2-0158_strЗП,M0000003_strЗП,"72,000","24,000"
10614,100000005732,Замена2 коробки передач,100,100000008662,ЗМН,APP1,A,M0000003,49,П2,2-0159_strП2,M0000003_str49,"288,000","96,000"
10615,100000005732,Замена1 коробки передач,100,100000008662,ЗМН,APP1,A,M0000003,41,П1,2-0159_strП1,M0000003_str41,"288,000","96,000"
10616,100000005733,КР подвески задней,100,100000008662,КР,APP1,A,M0000003,28,28,2-0160_str28,M0000003_str28,"72,000","24,000"
10617,100000005734,КР подвески передней,100,100000008662,КР,APP1,A,M0000003,29,29,2-0161_str29,M0000003_str29,"144,000","48,000"
10618,100000005735,КР ступицы,100,100000008662,КР,APP1,A,M0000003,31,31,2-0162_str31,M0000003_str31,"144,000","48,000"
10619,100000005736,Текущий ремонт,100,100000008663,ТР,APP1,A,M0000003,ТР,ТР,1-0007_strТР,M0000003_strТР,"30,000","10,000"
10620,100000005737,ТР дополнительных систем,100,100000008663,ТР,APP1,A,M0000003,71,71,1-0083_str71,M0000003_str71,"15,000","5,000"
10621,100000005738,Замена кузова,100,100000008663,ЗМН,APP1,A,M0000003,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000003_strЗЗ,"72,000","24,000"
10622,100000005739,ТР электрических систем,100,100000008663,ТР,APP1,A,M0000003,ТЭ,ТЭ,1-0085_strТЭ,M0000003_strТЭ,"15,000","5,000"
10623,100000005740,Техническое обслуживание 1,100,100000008663,ТО1,APP1,A,M0000003,О1,О1,2-0153_strО1,M0000003_strО1,"0,000","0,000"
10624,100000005740,Техническое обслуживание 2,100,100000008663,ТО2,APP1,A,M0000003,О2,О2,2-0153_strО2,M0000003_strО2,"0,000","0,000"
10625,100000005740,Техническое обслуживание 3,100,100000008663,ТО3,APP1,A,M0000003,О3,О3,2-0153_strО3,M0000003_strО3,"0,000","0,000"
10626,100000005741,КР гидросистемы,100,100000008663,КР,APP1,A,M0000003,7,7,2-0154_str7,M0000003_str7,"360,000","120,000"
10627,100000005741,ТР гидросистемы,100,100000008663,ТР,APP1,A,M0000003,69,69,2-0154_str69,M0000003_str69,"180,000","60,000"
10628,100000005742,Замена гидротрансформатора,100,100000008663,ЗМН,APP1,A,M0000003,ЗГ,ЗГ,2-0155_strЗГ,M0000003_strЗГ,"216,000","72,000"
10629,100000005742,КР гидротрансформатора,100,100000008663,КР,APP1,A,M0000003,8,8,2-0155_str8,M0000003_str8,"720,000","240,000"
10630,100000005743,Замена1 двигателя,100,100000008663,ЗМН,APP1,A,M0000003,40,Д1,2-0156_strД1,M0000003_str40,"288,000","96,000"
10631,100000005743,Замена2 двигателя,100,100000008663,ЗМН,APP1,A,M0000003,48,Д2,2-0156_strД2,M0000003_str48,"288,000","96,000"
10632,100000005744,Замена дифференциала,100,100000008663,ЗМН,APP1,A,M0000003,ЗФ,ЗФ,2-0157_strЗФ,M0000003_strЗФ,"0,000","0,000"
10633,100000005745,Замена конечной передачи,100,100000008663,ЗМН,APP1,A,M0000003,ЗП,ЗП,2-0158_strЗП,M0000003_strЗП,"72,000","24,000"
10634,100000005746,Замена2 коробки передач,100,100000008663,ЗМН,APP1,A,M0000003,49,П2,2-0159_strП2,M0000003_str49,"288,000","96,000"
10635,100000005746,Замена1 коробки передач,100,100000008663,ЗМН,APP1,A,M0000003,41,П1,2-0159_strП1,M0000003_str41,"288,000","96,000"
10636,100000005747,КР подвески задней,100,100000008663,КР,APP1,A,M0000003,28,28,2-0160_str28,M0000003_str28,"72,000","24,000"
10637,100000005748,КР подвески передней,100,100000008663,КР,APP1,A,M0000003,29,29,2-0161_str29,M0000003_str29,"144,000","48,000"
10638,100000005749,КР ступицы,100,100000008663,КР,APP1,A,M0000003,31,31,2-0162_str31,M0000003_str31,"144,000","48,000"
10639,100000005750,Текущий ремонт,100,100000008664,ТР,APP1,A,M0000003,ТР,ТР,1-0007_strТР,M0000003_strТР,"30,000","10,000"
10640,100000005751,ТР дополнительных систем,100,100000008664,ТР,APP1,A,M0000003,71,71,1-0083_str71,M0000003_str71,"15,000","5,000"
10641,100000005752,Замена кузова,100,100000008664,ЗМН,APP1,A,M0000003,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000003_strЗЗ,"72,000","24,000"
10642,100000005753,ТР электрических систем,100,100000008664,ТР,APP1,A,M0000003,ТЭ,ТЭ,1-0085_strТЭ,M0000003_strТЭ,"15,000","5,000"
10643,100000005754,Техническое обслуживание 1,100,100000008664,ТО1,APP1,A,M0000003,О1,О1,2-0153_strО1,M0000003_strО1,"0,000","0,000"
10644,100000005754,Техническое обслуживание 2,100,100000008664,ТО2,APP1,A,M0000003,О2,О2,2-0153_strО2,M0000003_strО2,"0,000","0,000"
10645,100000005754,Техническое обслуживание 3,100,100000008664,ТО3,APP1,A,M0000003,О3,О3,2-0153_strО3,M0000003_strО3,"0,000","0,000"
10646,100000005755,КР гидросистемы,100,100000008664,КР,APP1,A,M0000003,7,7,2-0154_str7,M0000003_str7,"360,000","120,000"
10647,100000005755,ТР гидросистемы,100,100000008664,ТР,APP1,A,M0000003,69,69,2-0154_str69,M0000003_str69,"180,000","60,000"
10648,100000005756,Замена гидротрансформатора,100,100000008664,ЗМН,APP1,A,M0000003,ЗГ,ЗГ,2-0155_strЗГ,M0000003_strЗГ,"216,000","72,000"
10649,100000005756,КР гидротрансформатора,100,100000008664,КР,APP1,A,M0000003,8,8,2-0155_str8,M0000003_str8,"720,000","240,000"
10650,100000005757,Замена1 двигателя,100,100000008664,ЗМН,APP1,A,M0000003,40,Д1,2-0156_strД1,M0000003_str40,"288,000","96,000"
10651,100000005757,Замена2 двигателя,100,100000008664,ЗМН,APP1,A,M0000003,48,Д2,2-0156_strД2,M0000003_str48,"288,000","96,000"
10652,100000005758,Замена дифференциала,100,100000008664,ЗМН,APP1,A,M0000003,ЗФ,ЗФ,2-0157_strЗФ,M0000003_strЗФ,"0,000","0,000"
10653,100000005759,Замена конечной передачи,100,100000008664,ЗМН,APP1,A,M0000003,ЗП,ЗП,2-0158_strЗП,M0000003_strЗП,"72,000","24,000"
10654,100000005760,Замена2 коробки передач,100,100000008664,ЗМН,APP1,A,M0000003,49,П2,2-0159_strП2,M0000003_str49,"288,000","96,000"
10655,100000005760,Замена1 коробки передач,100,100000008664,ЗМН,APP1,A,M0000003,41,П1,2-0159_strП1,M0000003_str41,"288,000","96,000"
10656,100000005761,КР подвески задней,100,100000008664,КР,APP1,A,M0000003,28,28,2-0160_str28,M0000003_str28,"72,000","24,000"
