,be,eo_model_name,eo_code,model_hour,year,month,month_year,calendar_fond_status,downtime_status,maintanance_jobs_id,maintanance_name
172,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 04:00:00,2023,1,1_2023,1,0.0,,
173,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 05:00:00,2023,1,1_2023,1,0.0,,
174,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 06:00:00,2023,1,1_2023,1,0.0,,
175,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 07:00:00,2023,1,1_2023,1,0.0,,
176,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-08 08:00:00,ЕТО
177,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 09:00:00,2023,1,1_2023,1,0.0,,
178,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 10:00:00,2023,1,1_2023,1,0.0,,
179,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 11:00:00,2023,1,1_2023,1,0.0,,
180,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 12:00:00,2023,1,1_2023,1,0.0,,
181,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 13:00:00,2023,1,1_2023,1,0.0,,
182,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 14:00:00,2023,1,1_2023,1,0.0,,
183,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 15:00:00,2023,1,1_2023,1,0.0,,
184,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 16:00:00,2023,1,1_2023,1,0.0,,
185,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 17:00:00,2023,1,1_2023,1,0.0,,
186,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 18:00:00,2023,1,1_2023,1,0.0,,
