,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
2474,МТЧ О150-Т11000,МТЧ,Текущий ремонт 1,Т1,1000,2-0719Т1,2-0719_strТ1
2475,МТЧ О1720-О22880-Т15000,МТЧ,Техническое обслуживание 1,О1,720,2-0720О1,2-0720_strО1
2476,МТЧ О1720-О22880-Т15000,МТЧ,Техническое обслуживание 2,О2,2880,2-0720О2,2-0720_strО2
2477,МТЧ О1720-О22880-Т15000,МТЧ,Текущий ремонт 1,Т1,5000,2-0720Т1,2-0720_strТ1
2478,МТЧ О1-О2-О3-О4-О5,МТЧ,Техническое обслуживание 1,О1,250,2-0721О1,2-0721_strО1
2479,МТЧ О1-О2-О3-О4-О5,МТЧ,Техническое обслуживание 2,О2,500,2-0721О2,2-0721_strО2
2480,МТЧ О1-О2-О3-О4-О5,МТЧ,Техническое обслуживание 3,О3,1000,2-0721О3,2-0721_strО3
2481,МТЧ О1-О2-О3-О4-О5,МТЧ,Техническое обслуживание 4,О4,3000,2-0721О4,2-0721_strО4
2482,МТЧ О1-О2-О3-О4-О5,МТЧ,Техническое обслуживание 5,О5,6000,2-0721О5,2-0721_strО5
2483,МТЧ 708000-ЗД24000,МТЧ,ТР двигателя,70,8000,2-072270,2-0722_str70
2484,МТЧ 708000-ЗД24000,МТЧ,Замена двигателя,ЗД,24000,2-0722ЗД,2-0722_strЗД
2485,МТЧ 854000-3410000,МТЧ,ТР ходовой части,85,4000,2-072385,2-0723_str85
2486,МТЧ 854000-3410000,МТЧ,КР ходовой части,34,10000,2-072334,2-0723_str34
2487,МТЧ 874000-3622000,МТЧ,ТР электрооборудования,87,4000,2-072487,2-0724_str87
2488,МТЧ 874000-3622000,МТЧ,КР электрооборудования,36,22000,2-072436,2-0724_str36
2489,МТЧ О1125-О2250-О3500-О41000,МТЧ,Техническое обслуживание 1,О1,125,2-0725О1,2-0725_strО1
2490,МТЧ О1125-О2250-О3500-О41000,МТЧ,Техническое обслуживание 2,О2,250,2-0725О2,2-0725_strО2
2491,МТЧ О1125-О2250-О3500-О41000,МТЧ,Техническое обслуживание 3,О3,500,2-0725О3,2-0725_strО3
2492,МТЧ О1125-О2250-О3500-О41000,МТЧ,Техническое обслуживание 4,О4,1000,2-0725О4,2-0725_strО4
2493,МТЧ О1250-О2500-О31000-О44000,МТЧ,Техническое обслуживание 1,О1,250,2-0726О1,2-0726_strО1
2494,МТЧ О1250-О2500-О31000-О44000,МТЧ,Техническое обслуживание 2,О2,500,2-0726О2,2-0726_strО2
2495,МТЧ О1250-О2500-О31000-О44000,МТЧ,Техническое обслуживание 3,О3,1000,2-0726О3,2-0726_strО3
2496,МТЧ О1250-О2500-О31000-О44000,МТЧ,Техническое обслуживание 4,О4,4000,2-0726О4,2-0726_strО4
2497,МТЧ СМ500,МТЧ,Смазка,СМ,500,2-0727СМ,2-0727_strСМ
2498,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Техническое обслуживание 0,О0,2000,2-0728О0,2-0728_strО0
2499,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Техническое обслуживание 1,О1,3000,2-0728О1,2-0728_strО1
2500,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Техническое обслуживание 3,О3,4500,2-0728О3,2-0728_strО3
2501,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Текущий ремонт,ТР,4500,2-0728ТР,2-0728_strТР
2502,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Техническое обслуживание 2,О2,8640,2-0728О2,2-0728_strО2
2503,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Техническое обслуживание,ТО,8640,2-0728ТО,2-0728_strТО
2504,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Текущий ремонт 1,Т1,9000,2-0728Т1,2-0728_strТ1
2505,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Текущий ремонт 2,Т2,9000,2-0728Т2,2-0728_strТ2
2506,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Текущий ремонт 4,Т4,17520,2-0728Т4,2-0728_strТ4
2507,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Текущий ремонт 5,Т5,17520,2-0728Т5,2-0728_strТ5
2508,МТЧ ТР-ТО-О0--О3-Т1---Т5,МТЧ,Текущий ремонт 3,Т3,18000,2-0728Т3,2-0728_strТ3
2509,МТЧ СМ100,МТЧ,Смазка,СМ,100,2-0729СМ,2-0729_strСМ
2510,МТЧ Д0168,МТЧ,Доливка,Д0,168,2-0730Д0,2-0730_strД0
2511,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание 0,О0,1500,2-0731О0,2-0731_strО0
2512,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание 1,О1,1500,2-0731О1,2-0731_strО1
2513,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание,ТО,1500,2-0731ТО,2-0731_strТО
2514,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание 2,О2,2000,2-0731О2,2-0731_strО2
