Единица оборудования,Техническое место,Выбранная строка,Тип техкарты,Группа,СчетГруппТехкарт,ТкстТехкрт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Завод,Группа плановиков,Страт. предупр. ТОРО,Внешний идентификатор техкарты
100000062728,,,E,5840,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,552_5425
100000061889,,,E,5841,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,553_4785
100000061895,,,E,5842,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,554_4790
100000061896,,,E,5843,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,555_4791
100000061888,,,E,5844,ЕО,Ежесменное ТО,"0,500","0,500",1100,100,1-0000,556_4784
100000026811,,,E,5845,ЕО,Ежесменное ТО,"0,501","0,501",1100,100,1-0000,557_108814
100000026812,,,E,5846,ЕО,Ежесменное ТО,"0,501","0,501",1100,100,1-0000,558_108815
100000026813,,,E,5847,ЕО,Ежесменное ТО,"0,501","0,501",1100,100,1-0000,559_108816
100000027473,,,E,5848,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,560_109602
100000058922,,,E,5849,ЕО,Ежесменное ТО,"0,999","0,999",1100,100,1-0000,561_32478
