Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005346,Т2,A0005346_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,45508_30386,,960005346,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005346,ТО,A0005346_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,45506_30386,,960005346,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005347,Т1,A0005347_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0205,45531_30387,,960005347,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005347,Т2,A0005347_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0205,45532_30387,,960005347,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005347,ТО,A0005347_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,45530_30387,,960005347,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005348,Т1,A0005348_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0205,6300_30388,,960005348,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005348,Т2,A0005348_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0205,6301_30388,,960005348,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005348,ТО,A0005348_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6299_30388,,960005348,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005349,Т1,A0005349_Т1,"36,000","12,000",Текущий ремонт 1,1100,100,2-0596,49740_30389,,960005349,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005349,Т2,A0005349_Т2,"54,000","18,000",Текущий ремонт 2,1100,100,2-0596,49741_30389,,960005349,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005349,ТО,A0005349_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0596,49739_30389,,960005349,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005351,Т1,A0005351_Т1,"12,000","12,000",Текущий ремонт 1,1100,100,2-0355,49708_30391,,960005351,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005351,Т2,A0005351_Т2,"14,000","14,000",Текущий ремонт 2,1100,100,2-0355,49709_30391,,960005351,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005351,ТО,A0005351_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0355,49707_30391,,960005351,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005352,Т1,A0005352_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,2-0402,49719_30392,,960005352,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
